"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"476","영화상영관","03_13_02_P","4810000","CDFF4220002004000003","2004-08-23","","03","폐업","03","폐업","","","","","683-9595","","555-809","전라남도 여수시 학동 85-23번지","","","시네마월드 3관","2009-12-31 11:47:32","I","2018-08-31 23:59:59","","260996.67092899","140284.430867601","영화상영관","영화상영관","8","기타","","","7","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20040823","상업지역",
"477","영화상영관","03_13_02_P","4810000","CDFF4220002003000004","2003-07-25","","03","폐업","03","폐업","2016-03-04","","","","654-5092","","","전라남도 여수시 여서동 497번지","전라남도 여수시 여서로 224 (여서동)","59721","롯데시네마여수점 3관","2016-03-04 15:37:27","I","2018-08-31 23:59:59","","264434.415907972","139140.413383962","영화상영관","영화상영관","","","","","4","1","","1","","","","","","","","","","","","","","","","","","영화관","","20030725","",
"478","영화상영관","03_13_02_P","4860000","CDFF4220002017000001","2017-12-13","","03","폐업","03","폐업","2020-07-02","","","","061-363-7053","","","전라남도 곡성군 곡성읍 읍내리 776-6","전라남도 곡성군 곡성읍 중앙로 59, 곡성 작은영화관","57537","곡성 작은영화관 1관","2021-02-16 09:35:31","U","2021-02-18 02:40:00","","226269.052985095","197812.289027815","영화상영관","","1","주택가주변","","","1","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20171213","일반주거지역",
"479","영화상영관","03_13_02_P","6520000","CDFF4220001992000001","1992-09-26","","03","폐업","03","폐업","2006-09-21","","","","762-0035","","697-810","제주특별자치도 서귀포시 서귀동 428-28번지","","","코아아트홀극장","2007-01-31 17:31:30","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","4","","","","3","1","","","","","","","","","","","","","","","","","","","","영화관","","19920926","",
"480","영화상영관","03_13_02_P","6520000","CDFF4220002005000002","2005-12-23","","03","폐업","03","폐업","2012-05-07","","","","","","","제주특별자치도 서귀포시 법환동 914번지","제주특별자치도 서귀포시 월드컵로 31 (법환동)","697-110","롯데시네마 서귀포 2관","2012-05-07 11:56:51","I","2018-08-31 23:59:59","","154166.130335479","-27615.1899714559","영화상영관","영화상영관","4","","","","","2","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20051223","",
"481","영화상영관","03_13_02_P","4050000","CDFF4220002010000001","2010-12-17","","03","폐업","03","폐업","2018-02-01","","","","287-6061","","","경기도 용인시 기흥구 보라동 308-1번지","","","용인자동차극장","2019-05-28 14:24:42","U","2019-05-30 02:40:00","","210080.978082349","417313.980812957","영화상영관","","1","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20101217","자연녹지지역",
"482","영화상영관","03_13_02_P","4050000","CDFF4220002010000002","2010-12-17","","03","폐업","03","폐업","2018-02-01","","","","287-6061","","","경기도 용인시 기흥구 보라동 308-1번지","","","용인자동차극장 제2관","2019-05-28 14:25:05","U","2019-05-30 02:40:00","","210080.978082349","417313.980812957","영화상영관","","","","","","1","","","","","","","","","","","","","","","","","","","","","자동차극장","","20101217","자연녹지지역",
"483","영화상영관","03_13_02_P","4050000","CDFF4220002014000001","2014-06-12","","03","폐업","03","폐업","2025-07-01","","","","","","","경기도 용인시 기흥구 보라동 31","경기도 용인시 기흥구 민속촌로 90 (보라동)","17075","한국민속촌 자동차극장 1관","2025-07-25 18:10:05","U","2025-07-27 02:40:00","","210854.611911587","417497.989447979","영화상영관","","1","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","자동차극장","","20140612","",
"484","영화상영관","03_13_02_P","4060000","CDFF4220002000000001","2000-02-28","","03","폐업","03","폐업","2012-04-04","","","","031-945-0609","","413-841","경기도 파주시 탄현면 성동리 646번지 오두산주차장내","","","자유로자동차극장1관","2012-04-04 16:13:25","I","2018-08-31 23:59:59","","172140.335317586","475161.1392202","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20000228","",
"485","영화상영관","03_13_02_P","4060000","CDFF4220002003000001","2003-04-18","","03","폐업","03","폐업","2008-11-26","","","","031-952-2900","","413-904","경기도 파주시 문산읍 문산리 17-41번지","","","문산극장","2008-11-27 10:26:52","I","2018-08-31 23:59:59","","181191.838596806","484057.589614802","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030418","",
"486","영화상영관","03_13_02_P","4060000","CDFF4220002003000002","2003-04-21","","03","폐업","03","폐업","2008-11-26","","","","031-941-5060","","413-800","경기도 파주시 금촌동 42-9번지 17통10반","경기도 파주시 아동로 13  (금촌동)","","시네마천국1관","2008-11-27 10:25:56","I","2018-08-31 23:59:59","","180204.634056533","473595.259569729","영화상영관","영화상영관","","","","","","","","1.15","","","","","","","","","","","","","","","","","","영화관","","20030421","",
"487","영화상영관","03_13_02_P","4060000","CDFF4220002003000003","2003-04-21","","03","폐업","03","폐업","2008-11-26","","","","","","413-800","경기도 파주시 금촌동 42-9번지 17통10반","경기도 파주시 아동로 13  (금촌동)","","시네마천국2관","2008-11-27 10:26:27","I","2018-08-31 23:59:59","","180204.634056533","473595.259569729","영화상영관","영화상영관","","","","","","","","1.15","","","","","","","","","","","","","","","","","","영화관","","20030421","",
"488","영화상영관","03_13_02_P","4060000","CDFF4220002003000004","2003-04-21","","03","폐업","03","폐업","2012-04-04","","","","","","413-841","경기도 파주시 탄현면 성동리 646번지 오두산주차장내","","","자유로자동차극장2관","2012-04-04 16:12:44","I","2018-08-31 23:59:59","","172140.335317586","475161.1392202","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20030421","",
"489","영화상영관","03_13_02_P","3820000","CDFF4220002003000001","2003-05-29","","03","폐업","03","폐업","2007-09-14","","","","","","480-842","경기도 의정부시 의정부동 178-8번지","경기도 의정부시 시민로121번길 28  (의정부동)","","중앙극장","2007-09-14 19:21:02","I","2018-08-31 23:59:59","","204294.726392389","470805.542049691","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20030529","",
"490","영화상영관","03_13_02_P","3820000","CDFF4220002003000007","2003-05-29","","03","폐업","03","폐업","2007-09-04","","","","","","480-827","경기도 의정부시 녹양동 산 80-1번지","","","씨네파크 의정부자동차전용극장","2007-09-04 11:25:56","I","2018-08-31 23:59:59","","202337.810086667","472918.099164376","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20030529","",
"491","영화상영관","03_13_02_P","5600000","CDFF4220001998000001","1998-12-15","","03","폐업","03","폐업","2003-12-17","","","","531-1500","","487-892","경기도 포천시 영북면 산정리 451-3번지","경기도 포천시 영북면 산정호수로411번길 5","","산정호수야외영화관","2004-02-24 13:12:44","I","2018-08-31 23:59:59","","227642.174832467","507078.463797828","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","19981215","",
"492","영화상영관","03_13_02_P","5600000","CDFF4220001999000001","1999-08-11","","03","폐업","03","폐업","","","","","","","487-855","경기도 포천시 일동면 수입리 69번지","경기도 포천시 일동면 수입로 46","11115","일동용암천자동차극장","2020-04-08 12:55:02","U","2020-04-10 02:40:00","","228663.203623291","496728.456414185","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","19990811","",
"493","영화상영관","03_13_02_P","5600000","CDFF4220002002000001","2002-06-25","","03","폐업","03","폐업","2014-07-09","","","","543-1145","","","경기도 포천시 소흘읍 이곡리 34번지","경기도 포천시 소흘읍 광릉수목원로 724-28","487-823","광릉수목원자동차극장","2014-07-24 11:46:28","I","2018-08-31 23:59:59","","213741.810869076","474721.281378187","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20020625","",
"494","영화상영관","03_13_02_P","5600000","CDFF4220002006000001","2006-05-23","","03","폐업","03","폐업","2025-07-04","","","","031-540-6000","","","경기도 포천시 군내면 하성북리 618","경기도 포천시 군내면 청성로 111","11151","포천반월아트홀","2025-07-10 10:19:43","U","2025-07-12 02:40:00","","218456.466458841","488168.825930337","영화상영관","영화상영관","5","기타","","","3","2","문화시설","2","","","","","","","","","","","","","","","","","","영화관","","20060523","자연녹지지역",
"495","영화상영관","03_13_02_P","4070000","CDFF4220002001000002","2001-09-14","","03","폐업","03","폐업","2005-12-06","","","","630-3962","","467-140","경기도 이천시 고담동 산 11번지","","","하이닉스2관","2005-12-07 11:48:50","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","","","","","","","","1.1","","","","","","","","","","","","","","","","","","영화관","","20010914","",
"496","영화상영관","03_13_02_P","4000000","CDFF4220002000000001","2000-09-08","","03","폐업","03","폐업","2005-12-29","","","","376-7495","","447-804","경기도 오산시 원동 770-14번지","경기도 오산시 원동로37번길 30  (원동)","","비비시네마","2006-01-02 18:14:40","I","2018-08-31 23:59:59","","206247.075776511","404805.728205926","영화상영관","영화상영관","8","유흥업소밀집지역","","","5","3","","","","","","","","","","","","","","","","","","","","영화관","","20000908","",
"497","영화상영관","03_13_02_P","3830000","CDFF4220002001000001","2001-09-21","","03","폐업","03","폐업","2003-04-17","","","","447-5601","","430-831","경기도 안양시 만안구 안양동 674-145번지","경기도 안양시 만안구 안양로292번길 8  (안양동)","","뉴월드시네마 1관","2004-12-24 18:03:11","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20010921","",
"498","영화상영관","03_13_02_P","3830000","CDFF4220002001000002","2001-09-21","","03","폐업","03","폐업","2003-04-17","","","","447-5601","","430-831","경기도 안양시 만안구 안양동 674-145번지","경기도 안양시 만안구 안양로292번길 8  (안양동)","","뉴월드시네마 2관","2004-12-24 18:02:17","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20010921","",
"499","영화상영관","03_13_02_P","3830000","CDFF4220002002000008","2002-08-05","","03","폐업","03","폐업","2006-02-21","","","","466-8851","","430-832","경기도 안양시 만안구 안양동 676-116번지 안양빌딩 7층","경기도 안양시 만안구 안양로 283  (안양동,안양빌딩 7층)","","안양극장 1관","2006-02-22 09:32:28","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","8","학교정화(상대)","","","7","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20020805","",
"500","영화상영관","03_13_02_P","3830000","CDFF4220002002000009","2002-08-05","","03","폐업","03","폐업","2006-02-21","","","","466-8851","","430-832","경기도 안양시 만안구 안양동 676-116번지 안양빌딩 6층","경기도 안양시 만안구 안양로 283  (안양동,안양빌딩 6층)","","안양극장 2관","2006-02-22 09:32:57","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","8","학교정화(상대)","","","7","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20020805","",
"501","영화상영관","03_13_02_P","3830000","CDFF4220002002000010","2002-08-05","","03","폐업","03","폐업","2006-02-21","","","","466-8851","","430-832","경기도 안양시 만안구 안양동 676-116번지 안양빌딩 6층","경기도 안양시 만안구 안양로 283  (안양동,안양빌딩 6층)","","안양극장 3관","2006-02-22 09:33:18","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","8","학교정화(상대)","","","7","1","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20020805","",
"502","영화상영관","03_13_02_P","4170000","CDFF4220002013000001","2013-05-29","","03","폐업","03","폐업","2024-02-14","","","","773-7893","","476-803","경기도 양평군 양평읍 오빈리 365-9","경기도 양평군 양평읍 수목원길 4","476-803","양평자동차극장","2024-02-15 15:33:23","U","2024-02-17 02:40:00","","241509.515325709","444541.021804615","영화상영관","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","자동차극장","","20130529","",
"503","영화상영관","03_13_02_P","5590000","CDFF4220002019000001","2019-09-26","","03","폐업","03","폐업","2020-12-18","","","","031-855-6050","","","경기도 양주시 장흥면 일영리 44-6","경기도 양주시 장흥면 권율로 112","11520","장흥자동차극장 1관","2020-12-22 16:09:57","U","2020-12-24 02:40:00","","195473.284645167","469081.989248441","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20190926","",
"504","영화상영관","03_13_02_P","5590000","CDFF4220002019000002","2019-09-26","","03","폐업","03","폐업","2020-12-18","","","","031-855-6050","","","경기도 양주시 장흥면 일영리 44-6","경기도 양주시 장흥면 권율로 112","11520","장흥자동차극장 2관","2020-12-22 16:28:43","U","2020-12-24 02:40:00","","195473.284645167","469081.989248441","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20190926","",
"505","영화상영관","03_13_02_P","4251000","CDFF4220002007000001","2007-07-19","","03","폐업","03","폐업","2022-02-24","","","","439-7847","","","강원특별자치도 홍천군 서면 팔봉리 1290-14","강원특별자치도 홍천군 서면 한치골길 262","25102","시네마-V(CINEMA-V)","2022-02-24 20:01:31","I","2023-06-13 00:00:00","","259927.662555703","460597.297045951","영화상영관","영화상영관","0","기타","","0","0","1","콘도미니엄","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20070719","관리지역",
"506","영화상영관","03_13_02_P","4241000","CDFF4220002003000001","2003-04-17","","03","폐업","03","폐업","2010-01-05","","","","572-9497","","245-938","강원특별자치도 삼척시 남양동 329-8","강원특별자치도 삼척시 중앙시장2길 22-45  (남양동)","","썬프라자극장","2010-01-05 16:06:18","I","2023-06-13 00:00:00","","391707.534831712","440015.119652942","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20030417","",
"507","영화상영관","03_13_02_P","4241000","CDFF4220002016000001","2016-08-25","","03","폐업","03","폐업","2020-08-27","","","","033-575-5700","","","강원특별자치도 삼척시 성남동 173-3","강원특별자치도 삼척시 엑스포로 50 (성남동, 가람영화관)","25919","가람영화관 1관","2020-08-27 16:30:16","I","2023-06-13 00:00:00","","390949.211530122","439719.706978218","영화상영관","","2","기타","","0","2","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20160825","일반주거지역",
"508","영화상영관","03_13_02_P","4241000","CDFF4220002016000002","2016-08-25","","03","폐업","03","폐업","2020-08-27","","","","033-575-7053","","","강원특별자치도 삼척시 성남동 173-3","강원특별자치도 삼척시 엑스포로 50 (성남동, 가람영화관)","25919","가람영화관 2관","2020-08-27 16:30:39","I","2023-06-13 00:00:00","","390949.211530122","439719.706978218","영화상영관","","2","기타","","0","2","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20160825","일반주거지역",
"509","영화상영관","03_13_02_P","4231000","CDFF4220001999000001","1999-06-17","","03","폐업","03","폐업","2007-03-26","","","","631-3853","","217-807","강원특별자치도 속초시 금호동 473-83","","","중앙극장","2007-04-17 09:23:45","I","2023-06-13 00:00:00","","339189.655571549","523420.330835662","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19990617","",
"510","영화상영관","03_13_02_P","4231000","CDFF4220002003000001","2003-07-01","","03","폐업","03","폐업","2003-11-03","","","","","","217-130","강원특별자치도 속초시 장사동 24-1","강원특별자치도 속초시 미시령로2983번길 111  (장사동)","","태형영화","2003-11-04 08:47:37","I","2023-06-13 00:00:00","","333788.794285736","524104.959379777","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20030701","",
"511","영화상영관","03_13_02_P","4221000","CDFF4220001991000001","1991-10-01","","03","폐업","03","폐업","","","","","553-0044","","235-800","강원특별자치도 태백시 황지동 39-37 11통4반","강원특별자치도 태백시 시장북2길 5 (황지동)","235-800","뉴보성소극장","2013-12-17 17:45:14","I","2023-06-13 00:00:00","","376848.522384172","409802.1494498","영화상영관","영화상영관","2","","","0","0","0","근린생활시설","1.5","0","0","0","","","","","","","","","","","","0","","","영화관","","19911001","",
"512","영화상영관","03_13_02_P","4221000","CDFF4220002006000001","2006-11-17","","03","폐업","03","폐업","2009-10-30","","","","033-552-2900","","","강원특별자치도 태백시 황지동 25-6","강원특별자치도 태백시 황지연못길 8  (황지동)","","메르디앙씨네마","2009-12-04 13:22:07","I","2023-06-13 00:00:00","","376749.482776117","409700.97366887","영화상영관","영화상영관","0","기타","","0","2","0","숙박시설","1","0","0","0","","","","","","","","","","","","0","","","영화관","","20061117","상업지역",
"513","영화상영관","03_13_02_P","4331000","CDFF4220001980000001","1980-01-01","","03","폐업","03","폐업","","","","","","","252-806","강원특별자치도 인제군 인제읍 상동리 349","강원특별자치도 인제군 인제읍 인제로 185","24631","인제문화관","2018-08-10 14:43:32","I","2023-06-13 00:00:00","","","","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19800101","",
"514","영화상영관","03_13_02_P","4281000","CDFF4220002016000001","2016-04-26","","03","폐업","03","폐업","2021-06-09","","","","033-339-0568","","","강원특별자치도 평창군 대관령면 용산리 200-3","강원특별자치도 평창군 대관령면 솔봉로 325 (알펜시아리조트컨벤션센터)","25351","알펜시아 시네마","2021-06-08 15:19:18","I","2023-06-13 00:00:00","","347678.59782019","462942.165520396","영화상영관","","0","기타","","0","1","1","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20160426","",
"515","영화상영관","03_13_02_P","4201000","CDFF4220001994000001","1994-06-24","","03","폐업","03","폐업","2013-07-16","","","","644-4959","","","강원특별자치도 강릉시 옥천동 177-1","강원특별자치도 강릉시 율곡로 2837 (옥천동)","210-090","중앙극장2관","2013-07-18 09:42:45","I","2023-06-13 00:00:00","","367146.118306702","474454.691957701","영화상영관","영화상영관","5","","","0","1","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19940624","",
"516","영화상영관","03_13_02_P","4201000","CDFF4220001999000001","1999-06-24","","03","폐업","03","폐업","2009-02-04","","","","648-2688","","210-080","강원특별자치도 강릉시 임당동 119-2","강원특별자치도 강릉시 경강로 2102 (임당동)","25540","신영극장1관","2016-11-17 11:29:08","I","2023-06-13 00:00:00","","367105.324513075","474185.736166645","영화상영관","영화상영관","6","","","0","1","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19990624","",
"517","영화상영관","03_13_02_P","4201000","CDFF4220001999000002","1999-06-24","","03","폐업","03","폐업","2007-07-24","","","","648-0755","","210-080","강원특별자치도 강릉시 임당동 119-3","강원특별자치도 강릉시 경강로 2102 (임당동)","210-080","신영극장2관","2011-10-30 13:54:07","I","2023-06-13 00:00:00","","367081.629567027","474168.095625465","영화상영관","영화상영관","6","","","0","1","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19990624","",
"518","영화상영관","03_13_02_P","4201000","CDFF4220001999000003","1999-06-24","","03","폐업","03","폐업","2013-07-16","","","","644-4959","","210-934","강원특별자치도 강릉시 옥천동 177-1","강원특별자치도 강릉시 율곡로 2837 (옥천동)","210-090","중앙극장1관","2013-07-18 09:42:19","I","2023-06-13 00:00:00","","367146.118306702","474454.691957701","영화상영관","영화상영관","5","","","0","1","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19990624","",
"519","영화상영관","03_13_02_P","4201000","CDFF4220001999000004","1999-06-24","","03","폐업","03","폐업","2010-06-30","","","","647-1199","","","강원특별자치도 강릉시 임당동 117-2","강원특별자치도 강릉시 경강로 2106 (임당동)","25540","롯데리아극장1관","2016-11-17 18:02:10","I","2023-06-13 00:00:00","","367139.395198995","474208.39644644","영화상영관","영화상영관","9","","","0","1","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","19990624","",
"520","영화상영관","03_13_02_P","4201000","CDFF4220002005000001","2005-02-07","","03","폐업","03","폐업","2010-06-30","","","","647-1199","","","강원특별자치도 강릉시 임당동 117-2","강원특별자치도 강릉시 경강로 2106 (임당동)","25540","롯데리아극장2관","2016-11-17 18:03:12","I","2023-06-13 00:00:00","","367139.395198995","474208.39644644","영화상영관","영화상영관","11","","","0","10","1","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20050207","",
"521","영화상영관","03_13_02_P","3650000","CDFF4220002001000002","2001-05-24","","03","폐업","03","폐업","2008-08-13","","","","","","301-822","대전광역시 중구 선화동 3-14번지 겔러리아동백점 12층","대전광역시 중구 중앙로 141  (선화동,겔러리아동백점 12층)","","겔러리아 동백시네마1관","2009-08-03 14:15:26","I","2018-08-31 23:59:59","","238117.420454614","314301.953643137","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20010524","",
"522","영화상영관","03_13_02_P","3650000","CDFF4220002001000003","2001-05-24","","03","폐업","03","폐업","2008-08-13","","","","","","301-822","대전광역시 중구 선화동 3-14번지 겔러리아 동백점12층","대전광역시 중구 중앙로 141  (선화동,겔러리아 동백점12층)","","겔러리아동백시네마 2관","2009-08-03 14:17:14","I","2018-08-31 23:59:59","","238117.420454614","314301.953643137","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20010524","",
"523","영화상영관","03_13_02_P","3650000","CDFF4220002001000004","2001-05-24","","03","폐업","03","폐업","2008-08-13","","","","","","301-822","대전광역시 중구 선화동 3-14번지 겔러리아동백점12층","대전광역시 중구 중앙로 141  (선화동,겔러리아동백점12층)","","겔러리아동백시네마 3관","2009-08-03 14:18:03","I","2018-08-31 23:59:59","","238117.420454614","314301.953643137","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20010524","",
"524","영화상영관","03_13_02_P","3650000","CDFF4220002003000001","2003-12-29","","03","폐업","03","폐업","2007-10-23","","","","","","301-849","대전광역시 중구 사정동 269-1번지","","","대전동물원자동차극장(2관)","2009-08-03 14:31:32","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20031229","",
"525","영화상영관","03_13_02_P","3650000","CDFF4220002003000002","2003-12-29","","03","폐업","03","폐업","2007-04-24","","","","","","301-849","대전광역시 중구 사정동 269-1번지","","","대전동물원자동차극장(제1관)","2009-08-03 14:32:36","I","2018-08-31 23:59:59","","","","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20031229","",
"526","영화상영관","03_13_02_P","3650000","CDFF4220002011000001","2011-01-21","","03","폐업","03","폐업","2016-05-19","","","","252-4300","","","대전광역시 중구 대사동 198-20번지 외 18필지","대전광역시 중구 보문산공원로 469 (대사동,외 18필지)","","4D 상영관","2016-05-19 14:37:50","I","2018-08-31 23:59:59","","237752.322287624","312224.578173989","영화상영관","","4","주택가주변","","","4","1","기타","1.5","","","","","","","","","","","","","","","","","","영화관","","20110121","일반주거지역",
"527","영화상영관","03_13_02_P","3650000","CDFF4220002001000005","2001-05-24","","03","폐업","03","폐업","2008-11-13","","","","","","301-822","대전광역시 중구 선화동 3-14번지 겔러리아동백점 12층","대전광역시 중구 중앙로 141  (선화동,겔러리아동백점 12층)","","겔러리아동백시네마 4관","2009-08-03 14:20:50","I","2018-08-31 23:59:59","","238117.420454614","314301.953643137","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20010524","",
"528","영화상영관","03_13_02_P","3650000","CDFF4220002001000006","2001-05-24","","03","폐업","03","폐업","2008-11-13","","","","","","301-822","대전광역시 중구 선화동 3-14번지 겔러리아동백점 12층","대전광역시 중구 중앙로 141  (선화동,겔러리아동백점 12층)","","겔러리아동백시네마 5관","2009-08-03 14:19:54","I","2018-08-31 23:59:59","","238117.420454614","314301.953643137","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20010524","",
"529","영화상영관","03_13_02_P","3390000","CDFF4220002005000011","2005-09-29","","03","폐업","03","폐업","2017-08-04","","","","051-310-1667","","617-805","부산광역시 사상구 감전동 502-1번지 마트월드5층 노외주차장","부산광역시 사상구 낙동대로 910 (감전동,마트월드5층 노외주차장)","","씨네이 자동차극장","2017-08-04 11:11:51","I","2018-08-31 23:59:59","","379554.826788489","184301.128962727","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","자동차극장","","20050929","",
"530","영화상영관","03_13_02_P","3300000","CDFF4220002002000001","2002-12-26","","03","폐업","03","폐업","2012-10-15","","","","558-3891","","607-833","부산광역시 동래구 온천동 189-17번지","부산광역시 동래구 금강공원로 23 (온천동)","47712","온천극장","2018-05-30 10:52:32","I","2018-08-31 23:59:59","","389488.471051685","193054.261689559","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20021226","",
"531","영화상영관","03_13_02_P","3320000","CDFF4220002004000002","2004-08-12","","03","폐업","03","폐업","2016-09-13","","","","364-0480","","","부산광역시 북구 화명동 2275-1번지","부산광역시 북구 화명대로 16 (화명동)","46527","CGV 화명 제9관","2016-09-13 14:16:35","I","2018-08-31 23:59:59","","382882.278858745","194681.150958776","영화상영관","영화상영관","10","유흥업소밀집지역","","","9","1","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20040812","상업지역",
"532","영화상영관","03_13_02_P","3330000","CDFF4220002002000004","2002-11-12","","03","폐업","03","폐업","2017-03-15","","","","","","","부산광역시 해운대구 우동 587-1번지","부산광역시 해운대구 해운대로 648, 6층 (우동, 스펀지몰)","48095","메가박스 해운대 제4관","2017-03-15 18:13:56","I","2018-08-31 23:59:59","","396848.162435672","187172.579511005","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20021112","",
"533","영화상영관","03_13_02_P","3330000","CDFF4220002002000005","2002-11-12","","03","폐업","03","폐업","2017-03-15","","","","","","","부산광역시 해운대구 우동 587-1번지","부산광역시 해운대구 해운대로 648, 6층 (우동, 스펀지몰)","48095","메가박스 해운대 M관","2017-03-15 18:14:22","I","2018-08-31 23:59:59","","396848.162435672","187172.579511005","영화상영관","영화상영관","","","","","","","","1","","","","","","","","","","","","","","","","","","영화관","","20021112","",
"534","영화상영관","03_13_02_P","3330000","CDFF4220002002000006","2002-11-12","","03","폐업","03","폐업","2017-03-15","","","","","","","부산광역시 해운대구 우동 587-1번지","부산광역시 해운대구 해운대로 648, 6층 (우동)","48095","메가박스 해운대 제6관","2017-03-15 18:14:57","I","2018-08-31 23:59:59","","396848.162435672","187172.579511005","영화상영관","영화상영관","","","","","","","","1","","","","","","","","","","","","","","","","","","영화관","","20021112","",
"535","영화상영관","03_13_02_P","3330000","CDFF4220002002000007","2002-11-12","","03","폐업","03","폐업","2017-03-15","","","","","","","부산광역시 해운대구 우동 587-1번지 스펀지몰 6층","부산광역시 해운대구 해운대로 648 (우동,스펀지몰 6층)","","메가박스 해운대 제7관","2017-03-15 18:15:30","I","2018-08-31 23:59:59","","396848.162435672","187172.579511005","영화상영관","영화상영관","","","","","","","","1","","","","","","","","","","","","","","","","","","영화관","","20021112","",
